Año,Temporada,Tipo_Agua,Area_km2,Numero_de_cuerpos_de_agua
2017,Primavera,Permanente,121.3392769,20150
2017,Primavera,Temporal,363.288553,621732
2017,Verano,Permanente,86.58817051,15882
2017,Verano,Temporal,287.7526252,443189
2017,Otono,Permanente,148.2883928,8998
2017,Otono,Temporal,69.08471634,119558
2017,Invierno,Permanente,148.853551,8326
2017,Invierno,Temporal,157.3863743,84446
2018,Primavera,Permanente,124.9228268,13292
2018,Primavera,Temporal,95.13485433,124145
2018,Verano,Permanente,121.9576776,8727
2018,Verano,Temporal,159.8801332,242647
2018,Otono,Permanente,133.6458072,6636
2018,Otono,Temporal,69.78487412,110538
2018,Invierno,Permanente,128.9806017,7434
2018,Invierno,Temporal,63.20435958,90369
2019,Primavera,Permanente,108.626064,6689
2019,Primavera,Temporal,145.6023023,78710
2019,Verano,Permanente,77.50919131,15441
2019,Verano,Temporal,396.1732004,418908
2019,Otono,Permanente,99.43777922,6842
2019,Otono,Temporal,78.69437097,110645
2019,Invierno,Permanente,108.0215436,6689
2019,Invierno,Temporal,71.45552279,78710
2020,Primavera,Permanente,90.04464844,13002
2020,Primavera,Temporal,94.42461641,126040
2020,Verano,Permanente,90.83953171,6816
2020,Verano,Temporal,309.6652376,330384
2020,Otono,Permanente,137.3538024,9582
2020,Otono,Temporal,99.43120262,89713
2020,Invierno,Permanente,176.6790859,17231
2020,Invierno,Temporal,254.9671358,112209
2021,Primavera,Temporal,105.412342,22886
2021,Primavera,Permanente,124.2266478,102690
2021,Verano,Temporal,117.5735862,10697
2021,Verano,Permanente,161.9090554,226149
2021,Otono,Temporal,137.1999076,8914
2021,Otono,Permanente,70.47707167,103605
2021,Invierno,Temporal,142.2454182,7018
2021,Invierno,Permanente,62.17856886,89815
2022,Primavera,Permanente,96.78845005,18855
2022,Primavera,Temporal,103.3133139,121259
2022,Verano,Permanente,104.9415561,12963
2022,Verano,Temporal,96.51517188,198700
2022,Otono,Permanente,113.1778216,11534
2022,Otono,Temporal,70.99655912,108611
2022,Invierno,Permanente,150.3608378,52084
2022,Invierno,Temporal,138.172246,109464
2023,Primavera,Permanente,94.42802122,29709
2023,Primavera,Temporal,148.478274,310362
2023,Verano,Permanente,91.88218112,22128
2023,Verano,Temporal,402.5862328,589542
2023,Otono,Permanente,125.3948352,7707
2023,Otoño,Temporal,80.99659552,135454
2023,Invierno,Permanente,130.4670213,9561
2023,Invierno,Temporal,117.6008137,138274
